UniqueMemberRef,MemberName,FirstName,LastName,Gender,DateOfBirth,YearOfBirth,Postcode,NHSNumber,ClientName,ClientIdentifier,SchemeCategory,SchemeIdentifier,Plan,Product,RegistrationStatus,JoinDate,LapseDate,ContractStartDate,ContractEndDate,LengthOfServiceYears
UM0000001,Oliver White,Oliver,White,Male,1983-06-11,1983,SW3 1NI,8298251869,GlobalHealth Ltd,C5427,Corporate,S67177,Silver,Executive,Active,2018-04-07,,2017-12-23,2027-01-14,7
UM0000002,Freddie Wilson,Freddie,Wilson,Male,1975-06-01,1975,HA1 0AV,2924161926,Mercer Group,C6562,Individual,S76939,Standard,Standard,Lapsed,2010-07-12,2018-03-18,2009-07-14,2014-03-26,15
UM0000003,Ava Jones,Ava,Jones,Female,1987-02-27,1987,BR1 2BF,4023585265,TrustHealth Ltd,C4044,Family,S87150,Platinum,Standard,Active,2014-11-08,,2013-11-09,2019-11-06,10
UM0000004,Alfie Harris,Alfie,Harris,Male,1987-08-10,1987,M1 7TB,0759683518,TrustHealth Ltd,C7025,Individual,S98959,Executive,Standard,Active,2010-04-06,,2010-01-12,2014-10-17,15
UM0000005,Harry Taylor,Harry,Taylor,Male,1957-06-22,1957,SW1A 7FT,1486176232,Healthcare Co,C2484,Corporate,S10436,Silver,Standard,Active,2013-05-14,,2013-02-13,2018-07-18,12
UM0000006,William Robinson,William,Robinson,Male,1964-02-23,1964,M1 1UO,3993283594,Mercer Group,C9408,Corporate,S64726,Gold,Standard,Active,2015-08-02,,2014-08-12,2024-04-05,10
UM0000007,Sophie Smith,Sophie,Smith,Female,1979-07-01,1979,M1 1EL,0475647944,Acme Corp,C6963,Corporate,S80241,Executive,Executive,Active,2019-07-29,,2019-07-04,2023-06-23,6
UM0000008,Jack Wilson,Jack,Wilson,Male,1977-09-03,1977,SE1 6PF,4534561945,TrustHealth Ltd,C2362,Individual,S24556,Executive,Standard,Active,2010-01-17,,2009-10-27,2011-09-27,15
UM0000009,Jacob Brown,Jacob,Brown,Male,1971-05-27,1971,EC1A 5MK,0317293498,GlobalHealth Ltd,C1227,Individual,S24898,Executive,Enhanced,Active,2019-07-08,,2019-02-13,2020-07-17,6
UM0000010,Amelia Jones,Amelia,Jones,Female,1966-02-17,1966,SW1A 8ES,8592767050,Healthcare Co,C9260,Corporate,S63757,Executive,Enhanced,Active,2014-08-26,,2013-11-23,2022-04-10,11
UM0000011,Sophia Evans,Sophia,Evans,Female,1968-04-03,1968,UB1 9TB,9171192004,BlueShield UK,C6131,Family,S49120,Silver,Standard,Active,2011-01-10,,2010-05-20,2016-12-23,14
UM0000012,Charlie Brown,Charlie,Brown,Male,1996-07-16,1996,NW1 7FG,8983270311,TrustHealth Ltd,C3656,Family,S87088,Executive,Executive,Active,2017-05-23,,2017-04-05,2021-03-26,8
UM0000013,Ava Williams,Ava,Williams,Female,1977-07-19,1977,NW1 7QD,8088536716,BlueShield UK,C8319,Corporate,S62893,Executive,Enhanced,Active,2021-02-28,,2020-10-24,2026-10-17,4
UM0000014,William Jones,William,Jones,Male,1978-08-16,1978,LS1 0QX,4075340653,TrustHealth Ltd,C7305,Family,S84752,Standard,Executive,Pending,2014-11-21,,2014-07-27,2016-08-07,10
UM0000015,Ava Williams,Ava,Williams,Female,1964-02-02,1964,B1 5GE,9948403669,Acme Corp,C3479,Corporate,S86288,Enhanced,Enhanced,Active,2010-02-17,,2009-03-27,2018-05-25,15
UM0000016,Isabella Johnson,Isabella,Johnson,Female,1970-01-30,1970,KT1 7UF,6011456671,Healthcare Co,C5627,Corporate,S19585,Standard,Enhanced,Active,2016-04-12,,2016-02-10,2025-05-26,9
UM0000017,William Smith,William,Smith,Male,2005-03-15,2005,N1 2MF,4595605397,TrustHealth Ltd,C1234,Family,S30987,Enhanced,Standard,Active,2013-06-28,,2012-12-10,2019-07-11,12
UM0000018,Alfie Thompson,Alfie,Thompson,Male,1985-05-02,1985,SW1A 7YL,3673985749,BlueShield UK,C9969,Individual,S75391,Platinum,Standard,Active,2022-09-26,,2022-04-16,2024-05-19,3
UM0000019,Oscar Smith,Oscar,Smith,Male,1959-11-19,1959,SE1 0DK,4938949945,Mercer Group,C3050,Family,S18408,Silver,Enhanced,Active,2012-10-04,,2011-12-12,2014-04-20,13
UM0000020,Isabella Robinson,Isabella,Robinson,Female,1986-06-01,1986,EC1A 8EE,8343450123,BlueShield UK,C2629,Individual,S99776,Gold,Executive,Lapsed,2015-04-15,2017-11-05,2015-04-05,2016-08-28,10
UM0000021,Charlie Johnson,Charlie,Johnson,Male,1987-04-08,1987,B1 7DL,1201525534,GlobalHealth Ltd,C3529,Corporate,S76850,Executive,Standard,Active,2010-07-21,,2009-12-26,2011-10-11,15
UM0000022,Jacob Evans,Jacob,Evans,Male,1975-02-03,1975,B1 4EY,2894440895,Healthcare Co,C3162,Family,S13225,Platinum,Executive,Active,2013-10-21,,2013-07-10,2018-09-30,12
UM0000023,Arthur Jones,Arthur,Jones,Male,1941-12-28,1941,M1 1NE,0716442883,GlobalHealth Ltd,C8600,Corporate,S34212,Bronze,Executive,Active,2022-02-04,,2021-12-16,2027-09-29,3
UM0000024,Jack Thompson,Jack,Thompson,Male,1993-09-07,1993,N1 3LM,4049676717,TrustHealth Ltd,C7489,Corporate,S87185,Enhanced,Enhanced,Active,2017-01-16,,2016-12-24,2021-11-27,8
UM0000025,Jack Brown,Jack,Brown,Male,1987-10-01,1987,SW1A 1EA,0418407993,Healthcare Co,C4418,Individual,S27303,Silver,Enhanced,Active,2023-01-27,,2023-01-15,2024-03-08,2
UM0000026,Amelia Williams,Amelia,Williams,Female,1979-03-29,1979,KT1 2UQ,6362653607,Acme Corp,C7284,Individual,S69137,Gold,Enhanced,Active,2011-07-28,,2010-08-05,2016-12-13,14
UM0000027,Evie Wilson,Evie,Wilson,Female,1977-09-11,1977,M1 6UK,8723460212,BlueShield UK,C2243,Corporate,S36539,Bronze,Enhanced,Active,2023-08-25,,2023-07-01,2026-08-10,2
UM0000028,Ella Smith,Ella,Smith,Female,1974-08-08,1974,UB1 6IN,0215704078,Mercer Group,C7894,Corporate,S53410,Executive,Executive,Active,2023-03-17,,2022-06-25,2028-06-28,2
UM0000029,Harry Harris,Harry,Harris,Male,1980-10-20,1980,SW1A 5NK,5688745612,GlobalHealth Ltd,C3534,Family,S84298,Platinum,Standard,Active,2011-12-02,,2011-02-13,2018-02-15,13
UM0000030,Jacob Thomas,Jacob,Thomas,Male,1964-06-04,1964,LS1 5CD,7677936335,BlueShield UK,C6076,Corporate,S79676,Gold,Enhanced,Active,2020-10-28,,2020-04-03,2027-02-22,5
UM0000031,Oliver Wright,Oliver,Wright,Male,1989-05-12,1989,SW3 9UA,3046823555,Acme Corp,C4978,Corporate,S14941,Silver,Enhanced,Active,2019-10-27,,2019-07-21,2025-10-14,6
UM0000032,Olivia Brown,Olivia,Brown,Female,1990-07-14,1990,EC1A 7EE,7859350122,GlobalHealth Ltd,C8264,Corporate,S33137,Enhanced,Standard,Active,2023-01-27,,2022-11-27,2027-08-03,2
UM0000033,Grace Harris,Grace,Harris,Female,2007-05-18,2007,SE1 7GD,2285114253,BlueShield UK,C4453,Family,S21268,Platinum,Executive,Active,2021-05-26,,2020-09-24,2030-02-27,4
UM0000034,Jacob Evans,Jacob,Evans,Male,2003-05-19,2003,SW3 9WY,3019235477,BlueShield UK,C9289,Corporate,S83537,Bronze,Standard,Active,2010-01-03,,2009-04-13,2011-01-26,15
UM0000035,Amelia Thompson,Amelia,Thompson,Female,1991-05-28,1991,SW1A 9DR,3942269375,Healthcare Co,C7975,Family,S77807,Enhanced,Standard,Active,2014-11-27,,2014-05-22,2024-01-05,10
